Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,1,1,1,0,0
0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,2,2,2,1,2,1,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,4,1,9,3,1,0,0
0,0.0,0,0.0,2,2.67,0.05,0.14,0.0,0.0,2,3,2,2,4,1,0,0
0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,2,3,3,1,4,1,1,0
0,0.0,0,0.0,19,154.22,0.02,0.02,0.0,0.0,2,2,2,1,3,1,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,2,2,4,3,3,1,0,0
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,2,1,2,1,5,1,1,0
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,2,2,2,2,3,1,0,0
0,0.0,0,0.0,3,738.0,0.0,0.02,0.0,0.4,2,2,4,1,2,1,0,0
0,0.0,0,0.0,3,395.0,0.0,0.07,0.0,0.0,2,1,1,3,3,1,0,0
0,0.0,0,0.0,16,407.75,0.02,0.03,0.0,0.4,2,1,1,4,3,1,0,0
0,0.0,0,0.0,7,280.5,0.0,0.03,0.0,0.0,2,1,1,1,3,1,0,0
0,0.0,0,0.0,6,98.0,0.0,0.07,0.0,0.0,2,2,5,1,3,1,0,0
0,0.0,0,0.0,2,68.0,0.0,0.1,0.0,0.0,2,3,2,3,3,1,0,0
2,53.0,0,0.0,23,1668.29,0.01,0.02,0.0,0.0,2,1,1,9,3,1,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,4,3,1,0,0
0,0.0,0,0.0,13,334.97,0.0,0.01,0.0,0.0,2,1,1,1,4,1,1,0
0,0.0,0,0.0,2,32.0,0.0,0.1,0.0,0.0,2,2,2,1,3,1,0,0
0,0.0,0,0.0,20,2981.17,0.0,0.01,0.0,0.0,2,2,4,4,4,1,0,0
0,0.0,0,0.0,8,136.17,0.0,0.01,0.0,1.0,2,2,2,5,1,1,1,0
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,2,3,3,1,3,1,0,0
0,0.0,0,0.0,3,105.0,0.0,0.03,0.0,0.0,2,3,2,1,5,1,0,0
0,0.0,0,0.0,2,15.0,0.0,0.1,0.0,0.8,2,2,4,1,3,1,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,2,4,1,1,1,0
0,0.0,0,0.0,5,156.0,0.0,0.04,0.0,0.0,2,1,1,9,3,1,0,0
4,64.6,0,0.0,32,1135.44,0.0,0.01,0.0,0.0,2,2,2,1,3,1,0,0
0,0.0,0,0.0,4,76.0,0.05,0.1,0.0,0.0,2,1,1,1,3,1,0,0
0,0.0,0,0.0,4,63.0,0.0,0.05,0.0,0.2,2,2,6,1,3,1,0,0
1,6.0,1,0.0,45,1582.75,0.04,0.05,54.18,0.4,2,3,2,1,1,1,0,0
0,0.0,0,0.0,2,35.0,0.0,0.1,0.0,0.0,2,1,1,6,3,1,0,0
0,0.0,0,0.0,3,78.0,0.0,0.07,0.0,0.0,2,1,2,6,6,1,1,0
0,0.0,0,0.0,8,209.5,0.0,0.02,0.0,0.0,2,2,2,1,1,1,0,0
0,0.0,0,0.0,10,183.67,0.04,0.08,0.0,0.0,2,1,1,3,1,1,0,0
